sell_id,trade_id,wallet_address,token,contract,sell_price,sell_date,sell_percent,profit_percent,is_winning,hold_duration_hours,verified_onchain
sell_1787456817_0xf15b73e7,trade_1786449351_0xf15b73e7,0xf15b73e7f5edcfc0d91da289c21d9af89cf377ce,BEAR,0xc114cf69972e3c1b4b529e0418012c01fcf9e725,0.001134,2026-08-23T03:46:57.625855,69.88,-17.77,FALSE,279.8512,TRUE
sell_1787456852_0x001087bc,trade_1786989739_0x001087bc,0x001087bc197aa40bb0c6893112fec044e32156c4,ESTEE,0x4200000623d0242cccd4e907008583dcb4af6472,0.0000000007,2026-08-23T03:47:32.802615,58.86,-4.93,FALSE,129.7535,TRUE
sell_1787456861_0x9b9d97a9,trade_1786989740_0x9b9d97a9,0x9b9d97a9215882f4a68b0d0d591d5aaeb29e5e47,OSCAR,0xebb66a88cedd12bfe3a289df6dfee377f2963f12,0.0007066,2026-08-23T03:47:41.486049,52.35,-1.7,FALSE,129.7554,TRUE
sell_1787456869_0x86ce2637,trade_1787084399_0x86ce2637,0x86ce2637f272a2972b0652492c4830458d008d29,STARMAN,0x12419a0427c2a27a61c1cb4a49f5fad24fd4e671,0.0001099,2026-08-23T03:47:49.356241,74.82,-30.13,FALSE,103.4636,TRUE
sell_1787456877_0xc4704f13,trade_1787110821_0xc4704f13,0xc4704f13d5e08b27b039d53873e813dd2fad99d9,MANYU,0x95af4af910c28e8ece4512bfe46f1f33687424ce,0.0000000065,2026-08-23T03:47:57.765916,100.0,31.78,TRUE,96.1264,TRUE
sell_1787456888_0xfff8d5ff,trade_1787155361_0xfff8d5ff,0xfff8d5fff6ee3226fa2f5d7d5d8c3ff785be9c74,KEKIUS,0x26e550ac11b26f78a04489d5f20f24e3559f7dd9,0.007527,2026-08-23T03:48:08.733943,94.83,3.71,TRUE,83.7571,TRUE
sell_1787456898_0x704ad8d9,trade_1787155365_0x704ad8d9,0x704ad8d95c12d7fea531738faa94402725acb035,JOE,0x76e222b07c53d28b89b0bac18602810fc22b49a8,0.008223,2026-08-23T03:48:18.660329,80.39,13.51,TRUE,83.7589,TRUE
sell_1787456910_0x7b736449,trade_1787155366_0x7b736449,0x7b73644935b8e68019ac6356c40661e1bc315860,ELON,0x761d38e5ddf6ccf6cf7c55759d5210750b5d60f3,0.0000000348,2026-08-23T03:48:30.507589,100.0,18.3,TRUE,83.7618,TRUE
sell_1787456924_0x69c66bea,trade_1787158919_0x69c66bea,0x69c66beafb06674db41b22cfc50c34a93b8d82a2,GROK,0x8390a1da07e376ef7add4be859ba74fb83aa02d5,0.0007221,2026-08-23T03:48:44.171511,89.88,13.22,TRUE,82.7788,TRUE
sell_1787456934_0x5ced44f0,trade_1787158920_0x5ced44f0,0x5ced44f03ff443bbe14d8ea23bc24425fb89e3ed,APU,0x594daad7d77592a2b97b725a7ad59d7e188b5bfa,0.00002776,2026-08-23T03:48:54.164646,100.0,35.95,TRUE,82.7813,TRUE
sell_1787456943_0xd293d05e,trade_1787158924_0xd293d05e,0xd293d05e83035a757d510e2a5ebfe705c4f05b1f,SHIRO,0xb0ac2b5a73da0e67a8e5489ba922b3f8d582e058,0.0000000009,2026-08-23T03:49:03.291513,77.18,-10.29,FALSE,82.7828,TRUE
